"Path","Size","Sig","SHA256","Issues","Status"
"assets\dfc_hero_bg.png","1235699","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","7679E7A12C06BEDB2272097466980446F54C355AF2F2316E6A2132E40EB0325A","","CLEAN"
"assets\legends_group_photo.jpg","58","5B 42 69 6E 61 72 79 20 69 6D 61 67 65 20 63 6F","2992DD85D312DD13E830B94BEE9B800DEE7EB4A1636801F8CF69E698809E8BCB","","PLACEHOLDER"
"assets\nav_card_blueprint.svg","2431","3C 73 76 67 20 77 69 64 74 68 3D 22 31 32 30 30","CEB8CE9CCA1030D498221179271DBE60F4B45EB5CFF30225E05D92EE4B3CC3C7","","CLEAN"
"assets\campaigns\coffee_campaign_hero.svg","3678","3C 73 76 67 20 78 6D 6C 6E 73 3D 22 68 74 74 70","6445D9BCDB4B6B0C5BA250534BC691C8644B54F64C57766939F337773931ADDD","","CLEAN"
"assets\campaigns\dfc_breast_cancer_badge.svg","711","3C 73 76 67 20 78 6D 6C 6E 73 3D 22 68 74 74 70","81795864E2C559FCD4F865B078CD1F2A69C30590E631D1D927728837AD52CD86","","CLEAN"
"assets\campaigns\dfc_coffee_not_coffin.svg","803","3C 73 76 67 20 78 6D 6C 6E 73 3D 22 68 74 74 70","CCEE99514C1EA680EF9A77CC9A28504423E202986A9E47FD391EFB3C4EA88051","","CLEAN"
"assets\campaigns\dfc_gold_coin_charity.svg","588","3C 73 76 67 20 78 6D 6C 6E 73 3D 22 68 74 74 70","B387CBC5017D1EB26D95CF586ADAAC785019F408C5DB7069759A2C275EDCEACB","","CLEAN"
"assets\campaigns\dfc_mens_mental_health.svg","924","3C 73 76 67 20 78 6D 6C 6E 73 3D 22 68 74 74 70","A85A48D7CBFD5E13E28FFB69BF70AF60AF82DDAC6C8673592EED23C11B7201A3","","CLEAN"
"assets\campaigns\dfc_womens_health_shield.svg","889","3C 73 76 67 20 78 6D 6C 6E 73 3D 22 68 74 74 70","E338297E076A617FDD74AC18ABFD60F10F7604120B5115C6E832B1412C44054F","","CLEAN"
"assets\campaigns\gold_coin_hero.svg","4169","3C 73 76 67 20 78 6D 6C 6E 73 3D 22 68 74 74 70","790291250F5ED827BB3407CC0AFB4A893F108C823955F6E1CA448560742DD039","","CLEAN"
"assets\campaigns\pink_shield_hero.svg","3549","3C 73 76 67 20 78 6D 6C 6E 73 3D 22 68 74 74 70","24F47313887FA8E5196B66391019244158440FA2DA5D56CB8A7B8BFEC20B60E8","","CLEAN"
"assets\cluster_icons\cluster_1.png","1091","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","D4C6ADD680BD671D5F10D2545D69BD28CCB82B931D484D4DBD99019683C58873","","CLEAN"
"assets\cluster_icons\cluster_10.png","1107","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","3C5DE5F81F2141F22E79FB4B2C8BDBF8A7744CC5D625009184A5DACDFCED3D99","","CLEAN"
"assets\cluster_icons\cluster_100.png","1115","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","6AAB09E742F20B783DC7846B9E138B05D8747914F89903F185BF16F18B98C66B","","CLEAN"
"assets\cluster_icons\cluster_11.png","1102","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","DA4BB22B8464D0DA5C6F93E4338967113CC667B33AD502AA7AE7A70BA968AADB","","CLEAN"
"assets\cluster_icons\cluster_12.png","1121","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","D3E4482C2A8BAFBD9173961EBB9A22528EDCCBF82EDD1E2FF993D78A88A0B79C","","CLEAN"
"assets\cluster_icons\cluster_13.png","1125","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","0F37436A3ACAC8E07EABA5A628F7E9D77C74C06C24AC80971D6EA6920A277CF9","","CLEAN"
"assets\cluster_icons\cluster_14.png","1118","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","03E12D130DC04B6C173D6A15D3A05AA1C90048B54DE25B7A3E3008B33280828C","","CLEAN"
"assets\cluster_icons\cluster_15.png","1120","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","9DBFB4512FBC788B5CC323CB2302AC07918147BB6EAF99E84E87492171193A89","","CLEAN"
"assets\cluster_icons\cluster_16.png","1116","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","58A5B3EDE958AC54F8A63E4F695D5CD0813478CF54B1C1BFF5E5B2B8E8937672","","CLEAN"
"assets\cluster_icons\cluster_17.png","1108","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","05ACAB3C4F4FE6C45293BA96C58D595B440274764CA908B4A2D097612BE270B4","","CLEAN"
"assets\cluster_icons\cluster_18.png","1114","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","555A285F435B52C71E2301721AB60632CE60DC8F59FEF922123FF50D1EA1C023","","CLEAN"
"assets\cluster_icons\cluster_19.png","1117","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","453F26D39B813A42A80A85F488E4C6BB7FA851DBEA33613D14307B82E0DA2A2C","","CLEAN"
"assets\cluster_icons\cluster_2.png","1106","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","13095941A86FB0B2F22A962D1021B1EB19CF5E05754F15053DB6E16603C094B7","","CLEAN"
"assets\cluster_icons\cluster_20.png","1120","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","6DBC046DF968EDFDD1FB4A8AB6C4A5DA2E46C8CAEC83A60C6BC57EF6D29835C5","","CLEAN"
"assets\cluster_icons\cluster_21.png","1123","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","D0D41E3BCC21FF34579F935CFFE0BAAE70B95E3E3A228707F43C49E6D96DDE4D","","CLEAN"
"assets\cluster_icons\cluster_22.png","1126","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","39213A46A3E40BD9CC82B78AA575954331BC6D7A63D1E14F79CB79FFDAFD9816","","CLEAN"
"assets\cluster_icons\cluster_23.png","1136","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","1C704C324D54CDCC1A08E69E276AAFD4A2A6E5DB3978563AA7F52E236577F1CD","","CLEAN"
"assets\cluster_icons\cluster_24.png","1133","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","FE350406E3169A64A1AE182112B58D871DB3C2E51534E0512AC8613EC9F1187D","","CLEAN"
"assets\cluster_icons\cluster_25.png","1134","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","2EB5F9A3B1954A460D9D197F35021C9D9F2E27B509F15F99FE8C0DC698FA7BE4","","CLEAN"
"assets\cluster_icons\cluster_26.png","1130","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","D4539011611259EE8830C3E1F70C5A1EB68B20B8D1C69A7BBC9B0E498B7FBDD6","","CLEAN"
"assets\cluster_icons\cluster_27.png","1123","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","1789FD9511DF084CF51EDBD69171F314848E33AF45633B3846655113738E2F43","","CLEAN"
"assets\cluster_icons\cluster_28.png","1126","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","53D14B8AE971301F8C01BDF8C5C0C1B77E2FE36B572ED47E26723561A91FE61E","","CLEAN"
"assets\cluster_icons\cluster_29.png","1130","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","2E53CB2A6BE71E389AA8109193578CE88E2D12F799F8AB28D5BC66A0993A7CDA","","CLEAN"
"assets\cluster_icons\cluster_3.png","1109","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","2C43D8E4A0C5C3A9D32053935A3D8CE2B460694845DE6987A14FA6B023A00370","","CLEAN"
"assets\cluster_icons\cluster_30.png","1119","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","84E38B60665E4B34C11DD4EDCDD4147836BA96FEFB97476B196275F2CC7176DE","","CLEAN"
"assets\cluster_icons\cluster_31.png","1126","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","91020E96804459CAF5AC6CD09C21ADA1F5129EA6D4839FB42A32161490F5CF38","","CLEAN"
